year,district,crime_category,primary_type,neighborhood,count
2010,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,3334
2010,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3449
2010,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,5869
2010,12,Property Crimes,THEFT,East Village / Garfield Park,2482
2010,13,Property Crimes,THEFT,East Village / Garfield Park,2792
2010,14,Property Crimes,THEFT,Avondale / Bucktown,4383
2010,15,Drug Offenses,NARCOTICS,Austin,4974
2010,16,Property Crimes,THEFT,Dunning / Edison Park,2649
2010,17,Property Crimes,THEFT,Albany Park / Avondale,2728
2010,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6874
2010,19,Property Crimes,THEFT,Lake View / Lincoln Park,3614
2010,20,Property Crimes,THEFT,Andersonville / Edgewater,1468
2010,21,Property Crimes,THEFT,Chinatown / Douglas,2195
2010,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2431
2010,23,Property Crimes,THEFT,Boystown / Lake View,2362
2010,24,Property Crimes,THEFT,Edgewater / Rogers Park,2576
2010,25,Property Crimes,THEFT,Austin / Avondale,4063
2011,1,Property Crimes,THEFT,Douglas / Loop,5446
2011,2,Violent Crimes,BATTERY,Douglas / Englewood,1960
2011,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,3714
2011,4,Violent Crimes,BATTERY,Avalon Park / Burnside,4230
2011,5,Violent Crimes,BATTERY,Burnside / Pullman,3330
2011,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3837
2011,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,4634
2011,8,Property Crimes,THEFT,Archer Heights / Ashburn,4764
2011,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,3196
2011,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3178
2011,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,5304
2011,12,Property Crimes,THEFT,East Village / Garfield Park,2538
2011,13,Property Crimes,THEFT,East Village / Garfield Park,2444
2011,14,Property Crimes,THEFT,Avondale / Bucktown,3813
2011,15,Drug Offenses,NARCOTICS,Austin,4240
2011,16,Property Crimes,THEFT,Dunning / Edison Park,2632
2011,17,Property Crimes,THEFT,Albany Park / Avondale,2372
2011,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6643
2011,19,Property Crimes,THEFT,Lake View / Lincoln Park,3264
2011,20,Property Crimes,THEFT,Andersonville / Edgewater,1502
2011,21,Property Crimes,THEFT,Chinatown / Douglas,2024
2011,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2371
2011,23,Property Crimes,THEFT,Boystown / Lake View,2341
2011,24,Property Crimes,THEFT,Edgewater / Rogers Park,2461
2011,25,Property Crimes,THEFT,Austin / Avondale,3665
2012,1,Property Crimes,THEFT,Douglas / Loop,6002
2012,2,Property Crimes,THEFT,Douglas / Englewood,2807
2012,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,3657
2012,4,Violent Crimes,BATTERY,Avalon Park / Burnside,4025
2012,5,Violent Crimes,BATTERY,Burnside / Pullman,3250
2012,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3836
2012,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,4581
2012,8,Property Crimes,THEFT,Archer Heights / Ashburn,4575
2012,9,Property Crimes,THEFT,Armour Square / Bridgeport,3215
2012,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3352
2012,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,5600
2012,12,Property Crimes,THEFT,East Village / Garfield Park,2540
2012,13,Property Crimes,THEFT,East Village / Garfield Park,2244
2012,14,Property Crimes,THEFT,Avondale / Bucktown,3593
2012,15,Drug Offenses,NARCOTICS,Austin,3614
2012,16,Property Crimes,THEFT,Dunning / Edison Park,2832
2012,17,Property Crimes,THEFT,Albany Park / Avondale,2423
2012,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6956
2012,19,Property Crimes,THEFT,Lake View / Lincoln Park,5324
2012,20,Property Crimes,THEFT,Andersonville / Edgewater,1601
2012,21,Property Crimes,THEFT,Chinatown / Douglas,262
2012,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2341
2012,23,Property Crimes,THEFT,Boystown / Lake View,301
2012,24,Property Crimes,THEFT,Edgewater / Rogers Park,2252
2012,25,Property Crimes,THEFT,Austin / Avondale,3786
2013,1,Property Crimes,THEFT,Douglas / Loop,5718
2013,2,Property Crimes,THEFT,Douglas / Englewood,2908
2013,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,3390
2013,4,Violent Crimes,BATTERY,Avalon Park / Burnside,3532
2013,5,Violent Crimes,BATTERY,Burnside / Pullman,3001
2013,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3725
2013,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,4213
2013,8,Property Crimes,THEFT,Archer Heights / Ashburn,4535
2013,9,Property Crimes,THEFT,Armour Square / Bridgeport,3101
2013,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2824
2013,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,7249
2013,12,Property Crimes,THEFT,East Village / Garfield Park,4301
2013,14,Property Crimes,THEFT,Avondale / Bucktown,3366
2013,15,Drug Offenses,NARCOTICS,Austin,3762
2013,16,Property Crimes,THEFT,Dunning / Edison Park,2618
2013,17,Property Crimes,THEFT,Albany Park / Avondale,2269
2013,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6267
2013,19,Property Crimes,THEFT,Lake View / Lincoln Park,5197
2013,20,Property Crimes,THEFT,Andersonville / Edgewater,1400
2013,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2347
2013,24,Property Crimes,THEFT,Edgewater / Rogers Park,2201
2013,25,Property Crimes,THEFT,Austin / Avondale,3798
2014,1,Property Crimes,THEFT,Douglas / Loop,5377
2014,2,Property Crimes,THEFT,Douglas / Englewood,2513
2014,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,2917
2014,4,Violent Crimes,BATTERY,Avalon Park / Burnside,3331
2014,5,Violent Crimes,BATTERY,Burnside / Pullman,2654
2014,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3499
2014,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,3688
2014,8,Property Crimes,THEFT,Archer Heights / Ashburn,3938
2014,9,Property Crimes,THEFT,Armour Square / Bridgeport,2783
2014,10,Violent Crimes,BATTERY,Little Village / Lower West Side,2674
2014,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,6804
2014,12,Property Crimes,THEFT,East Village / Garfield Park,3839
2014,14,Property Crimes,THEFT,Avondale / Bucktown,3150
2014,15,Drug Offenses,NARCOTICS,Austin,3192
2014,16,Property Crimes,THEFT,Dunning / Edison Park,2148
2014,17,Property Crimes,THEFT,Albany Park / Avondale,2003
2014,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,5356
2014,19,Property Crimes,THEFT,Lake View / Lincoln Park,4366
2014,20,Property Crimes,THEFT,Andersonville / Edgewater,1172
2014,22,Property Crimes,THEFT,Auburn Gresham / Beverly,1975
2014,24,Property Crimes,THEFT,Edgewater / Rogers Park,1746
2014,25,Property Crimes,THEFT,Austin / Avondale,2935
2015,1,Property Crimes,THEFT,Douglas / Loop,5654
2015,2,Property Crimes,THEFT,Douglas / Englewood,2439
2015,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,3019
2015,4,Violent Crimes,BATTERY,Avalon Park / Burnside,3355
2015,5,Violent Crimes,BATTERY,Burnside / Pullman,2535
2015,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,3363
2015,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,3551
2015,8,Property Crimes,THEFT,Archer Heights / Ashburn,3379
