day_of_week,district,neighborhood,specific_count,crime_category,total_count,crime_rate
Monday,9,Armour Square / Bridgeport,2177,White Collar Crimes,57169,0.0380800783641484
Monday,10,Little Village / Lower West Side,1375,White Collar Crimes,57169,0.024051496440378527
Monday,11,Austin / Garfield Park,1937,White Collar Crimes,57169,0.03388199898546415
Monday,12,East Village / Garfield Park,2242,White Collar Crimes,57169,0.039217058195875384
Monday,13,East Village / Garfield Park,496,White Collar Crimes,57169,0.008676030715947454
Monday,14,Avondale / Bucktown,2082,White Collar Crimes,57169,0.036418338610085886
Monday,15,Austin,1299,White Collar Crimes,57169,0.022722104637128513
Monday,16,Dunning / Edison Park,3145,White Collar Crimes,57169,0.05501233185817488
Monday,17,Albany Park / Avondale,1856,White Collar Crimes,57169,0.032465147195158216
Monday,18,Lincoln Park / Magnificent Mile,4432,White Collar Crimes,57169,0.07752453252636919
Monday,19,Lake View / Lincoln Park,3415,White Collar Crimes,57169,0.05973517115919467
Monday,20,Andersonville / Edgewater,1543,White Collar Crimes,57169,0.026990152005457502
Monday,21,Chinatown / Douglas,619,White Collar Crimes,57169,0.010827546397523133
Monday,22,Auburn Gresham / Beverly,2318,White Collar Crimes,57169,0.0405464499991254
Monday,23,Boystown / Lake View,997,White Collar Crimes,57169,0.01743952141895083
Monday,24,Edgewater / Rogers Park,2150,White Collar Crimes,57169,0.037607794434046424
Monday,25,Austin / Avondale,2960,White Collar Crimes,57169,0.05177631233710577
Saturday,1,Douglas / Loop,3696,White Collar Crimes,43720,0.08453796889295517
Saturday,2,Douglas / Englewood,1301,White Collar Crimes,43720,0.02975754803293687
Saturday,3,Grand Crossing / Jackson Park,1504,White Collar Crimes,43720,0.0344007319304666
Saturday,4,Avalon Park / Burnside,1678,White Collar Crimes,43720,0.03838060384263495
Saturday,5,Burnside / Pullman,1095,White Collar Crimes,43720,0.025045745654162854
Saturday,6,Auburn Gresham / Chatham,2040,White Collar Crimes,43720,0.04666056724611162
Saturday,7,Englewood / Grand Crossing,1185,White Collar Crimes,43720,0.02710430009149131
Saturday,8,Archer Heights / Ashburn,2852,White Collar Crimes,43720,0.06523330283623056
Saturday,9,Armour Square / Bridgeport,1599,White Collar Crimes,43720,0.036573650503202194
Saturday,10,Little Village / Lower West Side,975,White Collar Crimes,43720,0.022301006404391584
Saturday,11,Austin / Garfield Park,1361,White Collar Crimes,43720,0.03112991765782251
