month,district,neighborhood,specific_count,crime_category,total_count,crime_rate
January,10,Little Village / Lower West Side,8551,Violent Crimes,177138,0.04827309781074642
January,11,Austin / Garfield Park,11498,Violent Crimes,177138,0.06490984430218248
January,12,East Village / Garfield Park,5517,Violent Crimes,177138,0.031145208820241844
January,13,East Village / Garfield Park,2320,Violent Crimes,177138,0.013097133308493943
January,14,Avondale / Bucktown,5795,Violent Crimes,177138,0.03271460669082862
January,15,Austin,8459,Violent Crimes,177138,0.047753728731271664
January,16,Dunning / Edison Park,4637,Violent Crimes,177138,0.026177330668744142
January,17,Albany Park / Avondale,4575,Violent Crimes,177138,0.025827321071706804
January,18,Lincoln Park / Magnificent Mile,5459,Violent Crimes,177138,0.030817780487529495
January,19,Lake View / Lincoln Park,4031,Violent Crimes,177138,0.022756269123508224
January,20,Andersonville / Edgewater,2988,Violent Crimes,177138,0.0168682044507672
January,21,Chinatown / Douglas,2393,Violent Crimes,177138,0.013509241382425001
January,22,Auburn Gresham / Beverly,5634,Violent Crimes,177138,0.03180571080174779
January,23,Boystown / Lake View,1710,Violent Crimes,177138,0.009653490498933034
January,24,Edgewater / Rogers Park,5339,Violent Crimes,177138,0.03014034255777981
January,25,Austin / Avondale,10056,Violent Crimes,177138,0.056769298513023744
July,1,Douglas / Loop,5551,Violent Crimes,226233,0.02453665026764442
July,2,Douglas / Englewood,9581,Violent Crimes,226233,0.04235014343619189
July,3,Grand Crossing / Jackson Park,13857,Violent Crimes,226233,0.06125101112569784
July,4,Avalon Park / Burnside,14475,Violent Crimes,226233,0.06398270809298379
July,5,Burnside / Pullman,12277,Violent Crimes,226233,0.054267060950436055
July,6,Auburn Gresham / Chatham,14904,Violent Crimes,226233,0.06587898317221626
July,7,Englewood / Grand Crossing,17127,Violent Crimes,226233,0.0757051358555118
July,8,Archer Heights / Ashburn,14021,Violent Crimes,226233,0.0619759274730035
July,9,Armour Square / Bridgeport,11641,Violent Crimes,226233,0.05145579999381169
July,10,Little Village / Lower West Side,11420,Violent Crimes,226233,0.05047893101360102
July,11,Austin / Garfield Park,15430,Violent Crimes,226233,0.06820401974955025
July,12,East Village / Garfield Park,6641,Violent Crimes,226233,0.029354691844249072
July,13,East Village / Garfield Park,2898,Violent Crimes,226233,0.012809802283486493
July,14,Avondale / Bucktown,7542,Violent Crimes,226233,0.03333731153280026
July,15,Austin,10820,Violent Crimes,226233,0.047826798035653505
July,16,Dunning / Edison Park,5650,Violent Crimes,226233,0.02497425220900576
July,17,Albany Park / Avondale,5454,Violent Crimes,226233,0.024107888769542906
July,18,Lincoln Park / Magnificent Mile,6945,Violent Crimes,226233,0.03069843921974248
July,19,Lake View / Lincoln Park,5201,Violent Crimes,226233,0.022989572697175036
July,20,Andersonville / Edgewater,3406,Violent Crimes,226233,0.015055274871482055
July,21,Chinatown / Douglas,2765,Violent Crimes,226233,0.012221912806708129
July,22,Auburn Gresham / Beverly,7166,Violent Crimes,226233,0.031675308199953144
July,23,Boystown / Lake View,2421,Violent Crimes,226233,0.01070135656601822
