dayofweek,beat,district,primary_type,count,average
Friday,0121,01,OFFENSE INVOLVING CHILDREN,5,0.0005845218611176058
Friday,0121,01,OTHER OFFENSE,62,0.007248071077858312
Friday,0121,01,PUBLIC PEACE VIOLATION,9,0.0010521393500116905
Friday,0121,01,ROBBERY,51,0.005962122983399579
Friday,0121,01,THEFT,613,0.07166238017301847
Friday,0121,01,WEAPONS VIOLATION,6,0.0007014262333411269
Friday,0122,01,ARSON,2,0.00023380874444704232
Friday,0122,01,ASSAULT,248,0.028992284311433247
Friday,0122,01,BATTERY,465,0.05436053308393734
Friday,0122,01,BURGLARY,106,0.012391863455693243
Friday,0122,01,CONCEALED CARRY LICENSE VIOLATION,1,0.00011690437222352116
Friday,0122,01,CRIM SEXUAL ASSAULT,9,0.0010521393500116905
Friday,0122,01,CRIMINAL DAMAGE,348,0.04068272153378536
Friday,0122,01,CRIMINAL SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0122,01,CRIMINAL TRESPASS,274,0.0320317979892448
Friday,0122,01,DECEPTIVE PRACTICE,917,0.1072013093289689
Friday,0122,01,GAMBLING,2,0.00023380874444704232
Friday,0122,01,HOMICIDE,5,0.0005845218611176058
Friday,0122,01,INTERFERENCE WITH PUBLIC OFFICER,9,0.0010521393500116905
Friday,0122,01,INTIMIDATION,3,0.00035071311667056346
Friday,0122,01,KIDNAPPING,2,0.00023380874444704232
Friday,0122,01,LIQUOR LAW VIOLATION,9,0.0010521393500116905
Friday,0122,01,MOTOR VEHICLE THEFT,102,0.011924245966799158
Friday,0122,01,NARCOTICS,123,0.014379237783493103
Friday,0122,01,NON-CRIMINAL,2,0.00023380874444704232
Friday,0122,01,OFFENSE INVOLVING CHILDREN,8,0.0009352349777881693
Friday,0122,01,OTHER OFFENSE,249,0.029109188683656768
Friday,0122,01,PROSTITUTION,6,0.0007014262333411269
Friday,0122,01,PUBLIC PEACE VIOLATION,37,0.0043254617722702825
Friday,0122,01,ROBBERY,138,0.01613280336684592
Friday,0122,01,SEX OFFENSE,24,0.0028057049333645077
Friday,0122,01,STALKING,6,0.0007014262333411269
Friday,0122,01,THEFT,3962,0.46317512274959083
Friday,0122,01,WEAPONS VIOLATION,11,0.0012859480944587328
Friday,0123,01,ARSON,1,0.00011690437222352116
Friday,0123,01,ASSAULT,247,0.028875379939209727
Friday,0123,01,BATTERY,476,0.05564648117839607
Friday,0123,01,BURGLARY,93,0.010872106616787468
Friday,0123,01,CRIM SEXUAL ASSAULT,12,0.0014028524666822538
Friday,0123,01,CRIMINAL DAMAGE,298,0.03483750292260931
Friday,0123,01,CRIMINAL SEXUAL ASSAULT,12,0.0014028524666822538
Friday,0123,01,CRIMINAL TRESPASS,291,0.034019172317044655
Friday,0123,01,DECEPTIVE PRACTICE,697,0.08148234743979425
Friday,0123,01,HOMICIDE,1,0.00011690437222352116
Friday,0123,01,INTERFERENCE WITH PUBLIC OFFICER,15,0.0017535655833528173
Friday,0123,01,INTIMIDATION,2,0.00023380874444704232
Friday,0123,01,KIDNAPPING,1,0.00011690437222352116
Friday,0123,01,LIQUOR LAW VIOLATION,9,0.0010521393500116905
Friday,0123,01,MOTOR VEHICLE THEFT,180,0.02104278700023381
Friday,0123,01,NARCOTICS,142,0.016600420855740004
Friday,0123,01,OFFENSE INVOLVING CHILDREN,10,0.0011690437222352116
Friday,0123,01,OTHER OFFENSE,203,0.023731587561374796
Friday,0123,01,PROSTITUTION,12,0.0014028524666822538
Friday,0123,01,PUBLIC PEACE VIOLATION,46,0.005377601122281974
Friday,0123,01,ROBBERY,209,0.02443301379471592
Friday,0123,01,SEX OFFENSE,17,0.00198737432779986
Friday,0123,01,STALKING,8,0.0009352349777881693
Friday,0123,01,THEFT,2649,0.30967968202010754
Friday,0123,01,WEAPONS VIOLATION,27,0.0031564180500350714
Friday,0124,01,ASSAULT,203,0.023731587561374796
Friday,0124,01,BATTERY,328,0.03834463408931494
Friday,0124,01,BURGLARY,38,0.004442366144493804
Friday,0124,01,CRIM SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0124,01,CRIMINAL DAMAGE,180,0.02104278700023381
Friday,0124,01,CRIMINAL SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0124,01,CRIMINAL TRESPASS,202,0.023614683189151275
Friday,0124,01,DECEPTIVE PRACTICE,279,0.0326163198503624
Friday,0124,01,HOMICIDE,1,0.00011690437222352116
Friday,0124,01,INTERFERENCE WITH PUBLIC OFFICER,5,0.0005845218611176058
Friday,0124,01,INTIMIDATION,5,0.0005845218611176058
Friday,0124,01,LIQUOR LAW VIOLATION,5,0.0005845218611176058
Friday,0124,01,MOTOR VEHICLE THEFT,94,0.01098901098901099
Friday,0124,01,NARCOTICS,103,0.01204115033902268
Friday,0124,01,NON - CRIMINAL,1,0.00011690437222352116
Friday,0124,01,NON-CRIMINAL,1,0.00011690437222352116
Friday,0124,01,OFFENSE INVOLVING CHILDREN,4,0.00046761748889408465
Friday,0124,01,OTHER OFFENSE,171,0.01999064765022212
Friday,0124,01,PROSTITUTION,24,0.0028057049333645077
Friday,0124,01,PUBLIC PEACE VIOLATION,27,0.0031564180500350714
Friday,0124,01,ROBBERY,79,0.009235445405658172
Friday,0124,01,SEX OFFENSE,14,0.0016366612111292963
Friday,0124,01,STALKING,3,0.00035071311667056346
Friday,0124,01,THEFT,1767,0.20657002571896188
