dayofweek,district,primary_type,count,average
Friday,06,LIQUOR LAW VIOLATION,79,0.009235445405658172
Friday,06,MOTOR VEHICLE THEFT,4010,0.46878653261631986
Friday,06,NARCOTICS,6180,0.7224690203413607
Friday,06,NON-CRIMINAL,1,0.00011690437222352116
Friday,06,OBSCENITY,7,0.0008183306055646482
Friday,06,OFFENSE INVOLVING CHILDREN,694,0.08113163432312369
Friday,06,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,06,OTHER OFFENSE,4575,0.5348375029226093
Friday,06,PROSTITUTION,330,0.03857844283376198
Friday,06,PUBLIC INDECENCY,4,0.00046761748889408465
Friday,06,PUBLIC PEACE VIOLATION,389,0.04547580079494973
Friday,06,ROBBERY,3444,0.4026186579378069
Friday,06,SEX OFFENSE,213,0.024900631283610006
Friday,06,STALKING,70,0.008183306055646482
Friday,06,THEFT,12096,1.414075286415712
Friday,06,WEAPONS VIOLATION,1410,0.16483516483516483
Friday,07,ARSON,145,0.01695113397241057
Friday,07,ASSAULT,5388,0.629880757540332
Friday,07,BATTERY,15975,1.8675473462707506
Friday,07,BURGLARY,4072,0.47603460369417816
Friday,07,CONCEALED CARRY LICENSE VIOLATION,23,0.002688800561140987
Friday,07,CRIM SEXUAL ASSAULT,247,0.028875379939209727
Friday,07,CRIMINAL DAMAGE,7449,0.8708206686930091
Friday,07,CRIMINAL SEXUAL ASSAULT,65,0.007598784194528876
Friday,07,CRIMINAL TRESPASS,1293,0.15115735328501287
Friday,07,DECEPTIVE PRACTICE,1888,0.22071545475800794
Friday,07,GAMBLING,235,0.027472527472527472
Friday,07,HOMICIDE,178,0.020808978255786766
Friday,07,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,07,INTERFERENCE WITH PUBLIC OFFICER,230,0.026888005611409867
Friday,07,INTIMIDATION,30,0.0035071311667056347
Friday,07,KIDNAPPING,88,0.010287584755669862
Friday,07,LIQUOR LAW VIOLATION,88,0.010287584755669862
Friday,07,MOTOR VEHICLE THEFT,3000,0.3507131166705635
Friday,07,NARCOTICS,8229,0.9620060790273556
Friday,07,OBSCENITY,2,0.00023380874444704232
Friday,07,OFFENSE INVOLVING CHILDREN,531,0.06207622165068974
Friday,07,OTHER OFFENSE,3799,0.4441197100771569
Friday,07,PROSTITUTION,717,0.08382043488426467
Friday,07,PUBLIC PEACE VIOLATION,446,0.052139350011690434
Friday,07,ROBBERY,2956,0.3455693242927286
Friday,07,SEX OFFENSE,239,0.027940144961421557
Friday,07,STALKING,34,0.00397474865559972
Friday,07,THEFT,9316,1.0890811316343232
Friday,07,WEAPONS VIOLATION,1695,0.19815291091886836
Friday,08,ARSON,145,0.01695113397241057
Friday,08,ASSAULT,5099,0.5960953939677344
Friday,08,BATTERY,12962,1.5153144727612813
Friday,08,BURGLARY,5920,0.6920738835632453
Friday,08,CONCEALED CARRY LICENSE VIOLATION,32,0.003740939911152677
Friday,08,CRIM SEXUAL ASSAULT,246,0.028758475566986207
Friday,08,CRIMINAL DAMAGE,11632,1.3598316577039982
Friday,08,CRIMINAL SEXUAL ASSAULT,94,0.01098901098901099
Friday,08,CRIMINAL TRESPASS,1516,0.17722702829085807
Friday,08,DECEPTIVE PRACTICE,3951,0.46188917465513213
Friday,08,GAMBLING,122,0.014262333411269581
Friday,08,HOMICIDE,108,0.012625672200140286
Friday,08,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,08,INTERFERENCE WITH PUBLIC OFFICER,113,0.013210194061257891
Friday,08,INTIMIDATION,43,0.00502688800561141
Friday,08,KIDNAPPING,112,0.01309328968903437
Friday,08,LIQUOR LAW VIOLATION,167,0.019523030161328035
Friday,08,MOTOR VEHICLE THEFT,4953,0.5790273556231003
Friday,08,NARCOTICS,5445,0.6365443067570727
Friday,08,NON - CRIMINAL,2,0.00023380874444704232
Friday,08,NON-CRIMINAL,2,0.00023380874444704232
Friday,08,OBSCENITY,24,0.0028057049333645077
Friday,08,OFFENSE INVOLVING CHILDREN,884,0.1033434650455927
Friday,08,OTHER OFFENSE,5321,0.6220481646013561
Friday,08,PROSTITUTION,840,0.09819967266775777
Friday,08,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,08,PUBLIC PEACE VIOLATION,689,0.08054711246200608
Friday,08,ROBBERY,3237,0.378419452887538
Friday,08,SEX OFFENSE,359,0.041968669628244096
Friday,08,STALKING,47,0.005494505494505495
Friday,08,THEFT,15864,1.8545709609539396
Friday,08,WEAPONS VIOLATION,1069,0.12497077390694412
Friday,09,ARSON,148,0.01730184708908113
Friday,09,ASSAULT,3868,0.4521861117605798
Friday,09,BATTERY,10473,1.2243394902969371
Friday,09,BURGLARY,3663,0.428220715454758
Friday,09,CONCEALED CARRY LICENSE VIOLATION,3,0.00035071311667056346
Friday,09,CRIM SEXUAL ASSAULT,201,0.02349777881692775
Friday,09,CRIMINAL DAMAGE,7479,0.8743277998597148
Friday,09,CRIMINAL SEXUAL ASSAULT,46,0.005377601122281974
Friday,09,CRIMINAL TRESPASS,1215,0.14203881225157822
Friday,09,DECEPTIVE PRACTICE,2246,0.26256722001402855
Friday,09,GAMBLING,94,0.01098901098901099
Friday,09,HOMICIDE,136,0.01589899462239888
Friday,09,INTERFERENCE WITH PUBLIC OFFICER,140,0.016366612111292964
Friday,09,INTIMIDATION,43,0.00502688800561141
Friday,09,KIDNAPPING,63,0.007364975450081833
Friday,09,LIQUOR LAW VIOLATION,202,0.023614683189151275
Friday,09,MOTOR VEHICLE THEFT,3324,0.38859013327098435
Friday,09,NARCOTICS,5414,0.6329202712181435
Friday,09,NON-CRIMINAL,2,0.00023380874444704232
Friday,09,OBSCENITY,5,0.0005845218611176058
Friday,09,OFFENSE INVOLVING CHILDREN,516,0.060322656067336916
Friday,09,OTHER OFFENSE,3316,0.38765489829319616
Friday,09,PROSTITUTION,768,0.08978255786766424
Friday,09,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,09,PUBLIC PEACE VIOLATION,535,0.06254383913958382
Friday,09,ROBBERY,2044,0.23895253682487724
Friday,09,SEX OFFENSE,284,0.03320084171148001
Friday,09,STALKING,16,0.0018704699555763386
Friday,09,THEFT,10164,1.188216039279869
Friday,09,WEAPONS VIOLATION,1066,0.12462006079027356
Friday,10,ARSON,115,0.013444002805704933
Friday,10,ASSAULT,3461,0.4046060322656067
Friday,10,BATTERY,10262,1.199672667757774
Friday,10,BURGLARY,2194,0.25648819265840545
Friday,10,CONCEALED CARRY LICENSE VIOLATION,12,0.0014028524666822538
Friday,10,CRIM SEXUAL ASSAULT,154,0.01800327332242226
Friday,10,CRIMINAL DAMAGE,5595,0.6540799625906009
Friday,10,CRIMINAL SEXUAL ASSAULT,64,0.007481879822305354
Friday,10,CRIMINAL TRESPASS,950,0.1110591536123451
Friday,10,DECEPTIVE PRACTICE,1445,0.16892681786298808
Friday,10,GAMBLING,152,0.017769464577975215
Friday,10,HOMICIDE,96,0.01122281973345803
Friday,10,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,10,INTERFERENCE WITH PUBLIC OFFICER,123,0.014379237783493103
Friday,10,INTIMIDATION,46,0.005377601122281974
Friday,10,KIDNAPPING,38,0.004442366144493804
Friday,10,LIQUOR LAW VIOLATION,250,0.02922609305588029
Friday,10,MOTOR VEHICLE THEFT,2702,0.3158756137479542
Friday,10,NARCOTICS,7779,0.9093991115267711
Friday,10,NON-CRIMINAL,2,0.00023380874444704232
Friday,10,OBSCENITY,3,0.00035071311667056346
Friday,10,OFFENSE INVOLVING CHILDREN,440,0.05143792377834931
Friday,10,OTHER OFFENSE,3180,0.3717559036707973
Friday,10,PROSTITUTION,507,0.05927051671732523
Friday,10,PUBLIC PEACE VIOLATION,613,0.07166238017301847
Friday,10,ROBBERY,2169,0.25356558335281737
Friday,10,SEX OFFENSE,212,0.024783726911386486
Friday,10,STALKING,29,0.0033902267944821134
Friday,10,THEFT,7709,0.9012158054711246
Friday,10,WEAPONS VIOLATION,1216,0.14215571662380172
Friday,11,ARSON,110,0.012859480944587328
Friday,11,ASSAULT,4675,0.5465279401449614
Friday,11,BATTERY,14422,1.6859948562076221
Friday,11,BURGLARY,2392,0.2796352583586626
Friday,11,CONCEALED CARRY LICENSE VIOLATION,10,0.0011690437222352116
Friday,11,CRIM SEXUAL ASSAULT,206,0.02408230067804536
Friday,11,CRIMINAL DAMAGE,6137,0.7174421323357494
Friday,11,CRIMINAL SEXUAL ASSAULT,72,0.008417114800093524
Friday,11,CRIMINAL TRESPASS,1301,0.15209258826280103
Friday,11,DECEPTIVE PRACTICE,2107,0.24631751227495907
Friday,11,GAMBLING,337,0.039396773439326634
Friday,11,HOMICIDE,199,0.02326397007248071
Friday,11,INTERFERENCE WITH PUBLIC OFFICER,296,0.03460369417816226
Friday,11,INTIMIDATION,36,0.004208557400046762
Friday,11,KIDNAPPING,54,0.006312836100070143
Friday,11,LIQUOR LAW VIOLATION,113,0.013210194061257891
Friday,11,MOTOR VEHICLE THEFT,3288,0.3843815758709376
Friday,11,NARCOTICS,20328,2.376432078559738
Friday,11,OBSCENITY,5,0.0005845218611176058
Friday,11,OFFENSE INVOLVING CHILDREN,517,0.06043956043956044
Friday,11,OTHER OFFENSE,3501,0.4092822071545476
Friday,11,PROSTITUTION,2135,0.24959083469721768
Friday,11,PUBLIC INDECENCY,2,0.00023380874444704232
Friday,11,PUBLIC PEACE VIOLATION,428,0.050035071311667054
Friday,11,ROBBERY,3335,0.38987608136544305
Friday,11,SEX OFFENSE,214,0.025017535655833527
Friday,11,STALKING,31,0.003624035538929156
Friday,11,THEFT,8964,1.0479307926116437
Friday,11,WEAPONS VIOLATION,1573,0.1838905775075988
Friday,12,ARSON,53,0.0061959317278466215
Friday,12,ASSAULT,2632,0.3076923076923077
Friday,12,BATTERY,6148,0.7187280804302081
