hour,district,primary_type,count,average
0,07,LIQUOR LAW VIOLATION,19,0.7916666666666666
0,07,MOTOR VEHICLE THEFT,1292,53.833333333333336
0,07,NARCOTICS,1605,66.875
0,07,OBSCENITY,5,0.20833333333333334
0,07,OFFENSE INVOLVING CHILDREN,567,23.625
0,07,OTHER OFFENSE,1533,63.875
0,07,PROSTITUTION,189,7.875
0,07,PUBLIC PEACE VIOLATION,115,4.791666666666667
0,07,ROBBERY,986,41.083333333333336
0,07,SEX OFFENSE,210,8.75
0,07,STALKING,24,1.0
0,07,THEFT,3864,161.0
0,07,WEAPONS VIOLATION,789,32.875
0,08,ARSON,115,4.791666666666667
0,08,ASSAULT,1205,50.208333333333336
0,08,BATTERY,4340,180.83333333333334
0,08,BURGLARY,2064,86.0
0,08,CONCEALED CARRY LICENSE VIOLATION,4,0.16666666666666666
0,08,CRIM SEXUAL ASSAULT,307,12.791666666666666
0,08,CRIMINAL DAMAGE,6318,263.25
0,08,CRIMINAL SEXUAL ASSAULT,123,5.125
0,08,CRIMINAL TRESPASS,404,16.833333333333332
0,08,DECEPTIVE PRACTICE,2923,121.79166666666667
0,08,GAMBLING,12,0.5
0,08,HOMICIDE,42,1.75
0,08,INTERFERENCE WITH PUBLIC OFFICER,58,2.4166666666666665
0,08,INTIMIDATION,8,0.3333333333333333
0,08,KIDNAPPING,7,0.2916666666666667
0,08,LIQUOR LAW VIOLATION,51,2.125
0,08,MOTOR VEHICLE THEFT,2183,90.95833333333333
0,08,NARCOTICS,1391,57.958333333333336
0,08,NON-CRIMINAL,2,0.08333333333333333
0,08,OBSCENITY,18,0.75
0,08,OFFENSE INVOLVING CHILDREN,1067,44.458333333333336
0,08,OTHER NARCOTIC VIOLATION,1,0.041666666666666664
0,08,OTHER OFFENSE,2184,91.0
0,08,PROSTITUTION,182,7.583333333333333
0,08,PUBLIC INDECENCY,1,0.041666666666666664
0,08,PUBLIC PEACE VIOLATION,163,6.791666666666667
0,08,ROBBERY,903,37.625
0,08,SEX OFFENSE,346,14.416666666666666
0,08,STALKING,26,1.0833333333333333
0,08,THEFT,6061,252.54166666666666
0,08,WEAPONS VIOLATION,545,22.708333333333332
0,09,ARSON,85,3.5416666666666665
0,09,ASSAULT,910,37.916666666666664
0,09,BATTERY,3698,154.08333333333334
0,09,BURGLARY,1230,51.25
0,09,CONCEALED CARRY LICENSE VIOLATION,2,0.08333333333333333
0,09,CRIM SEXUAL ASSAULT,225,9.375
0,09,CRIMINAL DAMAGE,4081,170.04166666666666
0,09,CRIMINAL SEXUAL ASSAULT,78,3.25
0,09,CRIMINAL TRESPASS,267,11.125
0,09,DECEPTIVE PRACTICE,1561,65.04166666666667
0,09,GAMBLING,10,0.4166666666666667
0,09,HOMICIDE,46,1.9166666666666667
0,09,HUMAN TRAFFICKING,2,0.08333333333333333
0,09,INTERFERENCE WITH PUBLIC OFFICER,37,1.5416666666666667
0,09,INTIMIDATION,13,0.5416666666666666
0,09,KIDNAPPING,12,0.5
0,09,LIQUOR LAW VIOLATION,35,1.4583333333333333
0,09,MOTOR VEHICLE THEFT,1381,57.541666666666664
0,09,NARCOTICS,1443,60.125
0,09,NON - CRIMINAL,1,0.041666666666666664
0,09,OBSCENITY,9,0.375
0,09,OFFENSE INVOLVING CHILDREN,804,33.5
0,09,OTHER OFFENSE,1376,57.333333333333336
0,09,PROSTITUTION,91,3.7916666666666665
