month,district,primary_type,count,average
April,05,DECEPTIVE PRACTICE,862,3.0567375886524824
April,05,GAMBLING,51,0.18085106382978725
April,05,HOMICIDE,74,0.2624113475177305
April,05,INTERFERENCE WITH PUBLIC OFFICER,116,0.41134751773049644
April,05,INTIMIDATION,19,0.0673758865248227
April,05,KIDNAPPING,31,0.1099290780141844
April,05,LIQUOR LAW VIOLATION,29,0.10283687943262411
April,05,MOTOR VEHICLE THEFT,1371,4.861702127659575
April,05,NARCOTICS,2723,9.656028368794326
April,05,OBSCENITY,2,0.0070921985815602835
April,05,OFFENSE INVOLVING CHILDREN,314,1.1134751773049645
April,05,OTHER OFFENSE,2231,7.911347517730497
April,05,PROSTITUTION,261,0.925531914893617
April,05,PUBLIC PEACE VIOLATION,183,0.648936170212766
April,05,ROBBERY,1015,3.599290780141844
April,05,SEX OFFENSE,87,0.30851063829787234
April,05,STALKING,28,0.09929078014184398
April,05,THEFT,4095,14.52127659574468
April,05,WEAPONS VIOLATION,726,2.574468085106383
April,06,ARSON,68,0.24113475177304963
April,06,ASSAULT,3160,11.205673758865249
April,06,BATTERY,8381,29.71985815602837
April,06,BURGLARY,2145,7.6063829787234045
April,06,CONCEALED CARRY LICENSE VIOLATION,9,0.031914893617021274
April,06,CRIM SEXUAL ASSAULT,150,0.5319148936170213
April,06,CRIMINAL DAMAGE,4572,16.21276595744681
April,06,CRIMINAL SEXUAL ASSAULT,36,0.1276595744680851
April,06,CRIMINAL TRESPASS,1000,3.5460992907801416
April,06,DECEPTIVE PRACTICE,1653,5.861702127659575
April,06,GAMBLING,64,0.22695035460992907
April,06,HOMICIDE,107,0.37943262411347517
April,06,INTERFERENCE WITH PUBLIC OFFICER,106,0.375886524822695
April,06,INTIMIDATION,15,0.05319148936170213
April,06,KIDNAPPING,38,0.1347517730496454
April,06,LIQUOR LAW VIOLATION,40,0.14184397163120568
April,06,MOTOR VEHICLE THEFT,2122,7.524822695035461
April,06,NARCOTICS,3335,11.826241134751774
April,06,NON-CRIMINAL,1,0.0035460992907801418
April,06,OFFENSE INVOLVING CHILDREN,346,1.2269503546099292
April,06,OTHER OFFENSE,2717,9.634751773049645
April,06,PROSTITUTION,131,0.4645390070921986
